query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
science museum	gb	Europe	Northern Europe	FALSE	NA	2021-02-14	97239747	way	Science Museum, Museum Lane, Brompton, Royal Borough of Kensington and Chelsea, London, Greater London, England, SW7 1WZ, United Kingdom	tourism	museum	0.684227690824593	United Kingdom	FALSE
bci	au	Oceania	Australia and New Zealand	FALSE	NA	2021-02-14	158694176	way	Barcaldine Aerodrome, Bottlebrush Road, Barcaldine, Barcaldine Regional, Queensland, Australia	aeroway	aerodrome	0.330139264553753	Australia	FALSE
ncd risk factor collaboration	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
gas council	au	Oceania	Australia and New Zealand	FALSE	NA	2021-02-14	58897220	node	GAS, Victoria Road, Rozelle, Sydney, Inner West Council, New South Wales, 2039, Australia	man_made	pipeline	0.201	Australia	FALSE
home oil of canada	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
nh oh	de	Europe	Western Europe	FALSE	NA	2021-02-14	23179225	node	Oh, Riggerding, SchÃ¶llnach, SchÃ¶llnach (VGem), Landkreis Deggendorf, Bayern, 94508, Deutschland	place	hamlet	0.35	Deutschland	FALSE
national park board	us	Americas	Northern America	FALSE	NA	2021-02-14	435229	node	Board, Mason County, West Virginia, United States	place	hamlet	0.35	United States	FALSE
fisheries commission	us	Americas	Northern America	FALSE	NA	2021-02-14	246241087	way	Northwest Indian Fisheries Commission Lab, Martin Way East, Thompson Place, Thurston County, Washington, 98503, United States	building	office	0.201	United States	FALSE
chinese lunar exploration program	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
advisory committee on pesticides and other toxic chemicals	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
british astronomical association	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
hda	de	Europe	Western Europe	FALSE	NA	2021-02-14	119054679	way	Haus der Astronomie, 18, KÃ¶nigstuhl, Altstadt, Heidelberg, Baden-WÃ¼rttemberg, 69117, Deutschland	building	service	0.19324803174626	Deutschland	FALSE
us national institutes of health integrative human microbiome project	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
ihmp research network consortium	NONE	NA	NA	FALSE	NA	2021-02-14	NA	NA	NA	NA	NA	NA	NA	FALSE
n.c.	us	Americas	Northern America	FALSE	NA	2021-02-14	258457663	relation	North Carolina, United States	boundary	administrative	0.920364397898499	United States	FALSE
mauna loa observatory	us	Americas	Northern America	FALSE	NA	2021-02-14	139810752	way	Mauna Loa Observatory, Observatory Trail, HawaiÊ»i County, Hawaii, United States	amenity	research_institute	0.633256970094253	United States	FALSE
